"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0001",509,30,0,0,0,4,3,4,2,1,2,3,516,2,1,65,55.1076183612029,2022
"MLI0002",509,65,1,3,1,3,3,1,3,0,0,0,504,0,2,65,55.1076183612029,2022
"MLI0003",509,40,0,0,0,0,0,4,3,1,1,2,512,8,2,65,55.1076183612029,2022
"MLI0004",509,72,0,0,2,0,0,4,3,9,9,1,512,6,2,65,55.1076183612029,2022
"MLI0005",509,27,3,2,2,4,0,2,3,1,1,0,513,0,2,65,55.1076183612029,2022
"MLI0006",509,46,0,0,0,0,1,2,2,2,2,2,512,3,2,65,55.1076183612029,2022
"MLI0007",509,70,4,4,0,4,4,4,3,1,3,3,500,3,2,65,55.1076183612029,2022
"MLI0008",509,18,0,0,0,0,1,2,3,0,1,1,512,4,2,65,55.1076183612029,2022
"MLI0009",509,22,0,0,0,0,2,3,1,1,1,1,508,5,2,65,55.1076183612029,2022
"MLI0010",509,60,0,0,0,3,4,4,3,0,1,3,516,8,1,65,55.1076183612029,2022
"MLI0011",502,35,0,1,3,4,1,4,3,1,3,3,500,3,2,77,0.238176564560548,2022
"MLI0012",509,59,1,2,3,3,1,2,3,0,9,3,503,3,1,65,55.1076183612029,2022
"MLI0013",509,25,3,2,2,2,3,3,3,0,0,2,500,2,2,65,55.1076183612029,2022
"MLI0014",509,40,3,0,1,2,3,4,3,2,2,2,512,2,2,65,55.1076183612029,2022
"MLI0015",502,33,0,0,0,2,2,4,1,1,1,3,516,4,2,77,0.238176564560548,2022
"MLI0016",502,30,0,0,0,0,4,4,3,2,2,1,9995,5,2,77,0.238176564560548,2022
"MLI0017",502,42,0,1,1,1,1,1,3,0,0,3,515,0,2,77,0.238176564560548,2022
"MLI0018",509,27,0,0,0,0,0,1,3,1,1,1,500,7,1,65,55.1076183612029,2022
"MLI0019",509,18,2,2,2,2,2,4,3,2,2,3,500,0,1,65,55.1076183612029,2022
"MLI0020",509,27,3,3,3,3,4,3,3,1,1,0,505,2,2,65,55.1076183612029,2022
"MLI0021",509,18,1,4,0,0,3,4,3,3,2,1,500,4,2,65,55.1076183612029,2022
"MLI0022",509,41,2,2,0,0,3,1,3,0,0,1,504,7,1,65,55.1076183612029,2022
"MLI0023",509,19,2,3,1,0,4,4,3,0,2,2,500,5,1,65,55.1076183612029,2022
"MLI0024",509,19,0,4,2,3,4,4,0,2,3,3,512,7,2,65,55.1076183612029,2022
"MLI0025",509,26,0,3,0,0,2,4,3,1,1,1,508,9,2,65,55.1076183612029,2022
"MLI0026",509,32,1,3,3,1,3,1,9,2,2,2,514,0,2,65,55.1076183612029,2022
"MLI0027",509,85,4,0,4,4,4,4,3,9,9,1,500,0,1,65,55.1076183612029,2022
"MLI0028",502,32,0,0,0,0,4,2,3,2,2,1,500,0,1,77,0.238176564560548,2022
"MLI0029",509,36,4,2,2,2,1,4,3,3,3,2,500,2,1,65,55.1076183612029,2022
"MLI0030",509,56,0,4,0,0,4,2,0,1,1,1,9995,2,1,65,55.1076183612029,2022
"MLI0031",509,19,1,0,0,1,1,3,1,1,1,1,500,7,2,65,55.1076183612029,2022
"MLI0032",509,26,0,0,0,0,2,4,3,1,1,1,516,4,1,65,55.1076183612029,2022
"MLI0033",502,55,0,0,0,0,3,1,3,0,0,2,508,0,1,77,0.238176564560548,2022
"MLI0034",509,19,0,0,0,2,2,4,3,1,1,1,517,5,1,65,55.1076183612029,2022
"MLI0035",509,47,1,1,0,1,3,4,3,2,1,0,515,1,1,65,55.1076183612029,2022
"MLI0036",509,40,0,0,0,1,1,4,3,1,1,3,500,3,1,65,55.1076183612029,2022
"MLI0037",509,20,0,0,0,0,0,2,3,1,1,1,512,4,1,65,55.1076183612029,2022
"MLI0038",509,68,0,0,4,3,0,2,3,0,0,0,500,2,1,65,55.1076183612029,2022
"MLI0039",509,28,0,0,0,1,1,4,3,1,1,3,508,7,2,65,55.1076183612029,2022
"MLI0040",502,25,0,0,2,4,2,4,3,0,9,3,500,4,1,77,0.238176564560548,2022
"MLI0041",509,21,0,0,0,0,0,3,3,1,1,3,516,6,2,65,55.1076183612029,2022
"MLI0042",502,25,0,0,9,0,4,3,3,1,3,1,515,7,1,77,0.238176564560548,2022
"MLI0043",509,30,0,9,0,4,4,9,9,3,9,9,516,0,2,65,55.1076183612029,2022
"MLI0044",509,35,0,2,0,0,0,1,0,0,3,3,500,1,1,65,55.1076183612029,2022
"MLI0045",509,58,2,2,2,2,3,4,3,1,0,0,508,0,2,65,55.1076183612029,2022
"MLI0046",509,34,0,0,2,3,3,5,3,0,0,3,500,6,1,65,55.1076183612029,2022
"MLI0047",509,31,0,0,1,0,0,4,3,0,0,1,504,0,1,65,55.1076183612029,2022
"MLI0048",509,25,0,0,0,0,2,4,1,2,2,2,508,2,2,65,55.1076183612029,2022
"MLI0049",509,36,0,2,2,4,3,3,3,3,3,3,500,3,1,65,55.1076183612029,2022
"MLI0050",509,28,0,0,0,0,2,4,3,2,1,0,500,7,1,65,55.1076183612029,2022
"MLI0051",509,22,3,3,3,3,3,9,3,0,3,9,500,2,2,65,55.1076183612029,2022
"MLI0052",509,22,0,0,0,0,3,3,3,1,2,2,500,0,2,65,55.1076183612029,2022
"MLI0053",509,36,2,0,0,0,2,4,3,2,2,1,514,0,2,65,55.1076183612029,2022
"MLI0054",509,55,0,0,0,0,4,1,3,0,3,2,512,0,2,65,55.1076183612029,2022
"MLI0055",509,26,0,2,3,4,2,1,3,0,0,0,508,2,1,65,55.1076183612029,2022
"MLI0056",509,38,0,0,0,0,2,4,3,2,2,1,500,2,2,65,55.1076183612029,2022
"MLI0057",509,31,0,0,0,0,2,4,3,0,0,2,500,2,1,65,55.1076183612029,2022
"MLI0058",502,23,2,0,2,0,2,4,2,2,2,2,500,4,2,77,0.238176564560548,2022
"MLI0059",509,65,2,0,2,1,4,4,3,2,3,3,508,2,1,65,55.1076183612029,2022
"MLI0060",502,38,0,2,3,4,4,4,3,1,1,9,500,0,2,77,0.238176564560548,2022
