"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0001",509,32,0,0,0,0,1,1,3,1,1,1,509,0,2,41,46.9902593332753,2017
"MLI0002",509,18,0,0,1,2,4,1,1,1,1,1,505,5,2,41,46.9902593332753,2017
"MLI0003",509,19,0,0,0,1,3,1,3,0,0,2,501,0,2,41,46.9902593332753,2017
"MLI0004",509,28,0,0,0,1,2,3,3,3,2,3,501,4,2,41,46.9902593332753,2017
"MLI0005",509,25,0,1,3,2,1,9,3,2,2,3,516,0,1,41,46.9902593332753,2017
"MLI0006",509,48,2,0,2,2,3,4,3,3,3,3,509,2,1,41,46.9902593332753,2017
"MLI0007",509,18,0,0,1,3,3,1,1,3,3,2,517,2,2,41,46.9902593332753,2017
"MLI0008",509,42,0,0,2,2,4,1,1,3,3,3,501,8,2,41,46.9902593332753,2017
"MLI0009",509,53,0,0,2,3,2,2,3,1,3,1,501,6,2,41,46.9902593332753,2017
"MLI0010",509,22,0,0,0,0,0,5,3,3,2,3,509,8,1,41,46.9902593332753,2017
"MLI0011",509,54,0,0,2,0,1,1,1,2,1,2,516,1,1,41,46.9902593332753,2017
"MLI0012",509,30,0,0,0,0,1,1,3,0,0,0,501,8,1,41,46.9902593332753,2017
"MLI0013",509,52,1,0,0,1,2,2,3,3,1,2,509,8,1,41,46.9902593332753,2017
"MLI0014",509,52,0,0,1,3,2,1,3,0,0,2,510,2,1,41,46.9902593332753,2017
"MLI0015",509,40,4,3,3,3,3,1,3,0,0,0,501,0,2,41,46.9902593332753,2017
"MLI0016",509,35,0,0,2,4,2,1,3,9,9,9,501,0,2,41,46.9902593332753,2017
"MLI0017",509,36,0,0,0,0,0,5,2,2,2,2,516,6,1,41,46.9902593332753,2017
"MLI0018",509,31,0,2,0,1,2,5,3,3,3,1,501,0,1,41,46.9902593332753,2017
"MLI0019",509,49,0,1,0,0,3,1,3,3,3,3,501,0,2,41,46.9902593332753,2017
"MLI0020",509,52,0,0,0,0,4,4,3,1,2,2,505,0,2,41,46.9902593332753,2017
"MLI0021",509,26,0,2,0,2,2,1,3,1,2,2,501,4,2,41,46.9902593332753,2017
"MLI0022",509,18,0,2,2,3,3,1,3,1,1,3,9995,0,2,41,46.9902593332753,2017
"MLI0023",509,22,0,0,0,0,0,1,3,3,3,3,516,0,2,41,46.9902593332753,2017
"MLI0024",509,44,0,0,0,0,0,2,3,3,2,2,513,8,1,41,46.9902593332753,2017
"MLI0025",509,60,0,0,0,0,1,2,0,2,2,2,9995,0,2,41,46.9902593332753,2017
"MLI0026",509,24,0,0,0,0,3,1,3,3,2,9,501,2,2,41,46.9902593332753,2017
"MLI0027",509,45,0,0,0,0,2,2,3,2,1,2,516,8,1,41,46.9902593332753,2017
"MLI0028",509,53,0,0,0,0,4,1,3,3,3,3,509,2,1,41,46.9902593332753,2017
"MLI0029",509,90,2,0,0,0,2,1,3,2,3,3,515,6,1,41,46.9902593332753,2017
"MLI0030",509,32,0,0,0,0,1,1,3,3,3,1,517,6,2,41,46.9902593332753,2017
"MLI0031",509,43,0,0,0,0,2,2,3,0,0,1,513,4,2,41,46.9902593332753,2017
